"Zeit";"Position";"Signalgeschwindigkeit"
7,950117;0,5039918;1,505068
7,952272;0,5015939;1,112145
7,954284;0,4983597;1,607749
7,955916;0,4953423;1,848781
7,957598;0,4928942;1,456187
7,95926;0,4903724;1,516424
7,96097;0,4878779;1,459463
7,962908;0,4853141;1,322844
7,96467;0,4824069;1,649357
7,966332;0,479763;1,591185
7,968066;0,4772706;1,43712
7,969944;0,4746692;1,385885
7,97182;0,4718535;1,500007
7,973614;0,4690378;1,569577
7,975297;0,466347;1,598842
7,976954;0,4638225;1,523901
7,978576;0,4613376;1,532368
7,980113;0,4589052;1,582156
7,981929;0,4565991;1,269811
7,98702;0,4538749;0,5351631
7,989724;0,4462395;2,822924
8,047457;0,452076;3,189686
8,04912;0,4548207;1,650851
8,050738;0,4573146;1,541054
8,052367;0,459742;1,48997
8,053919;0,4621858;1,575216
8,055493;0,4645129;1,477814
8,057046;0,466875;1,521543
8,058563;0,4692036;1,5345
8,060198;0,4714798;1,392708
8,061996;0,4739314;1,362605
8,063578;0,4766302;1,707566
8,065168;0,479001;1,489536
8,066823;0,4813884;1,443151
8,068554;0,4838699;1,434039
8,070147;0,4864655;1,629688
8,071688;0,4888545;1,550119
8,073277;0,4911663;1,4546
8,07488;0,4935502;1,4869
8,076445;0,4959552;1,5375
8,078024;0,4983015;1,485098
8,07963;0,5006713;1,475972
8,08121;0,5030797;1,523427
8,082912;0,5054511;1,393121
8,084452;0,5080044;1,659054
8,086242;0,5103129;1,289442
8,087978;0,5129983;1,54646
8,089602;0,515603;1,604684
8,091269;0,5180378;1,460582
8,092953;0,5205383;1,484666
8,094583;0,5230646;1,550248
8,098988;0,5255089;0,5549622
8,100746;0,5321158;3,756041
8,102561;0,5347543;1,45413
8,104138;0,5374761;1,725014
8,105671;0,5398428;1,544454
8,107225;0,5421414;1,479051
8,108801;0,5444725;1,479148
8,110386;0,5468365;1,491376
8,111939;0,5492141;1,530794
8,11348;0,551544;1,512481
8,115052;0,5538545;1,46955
8,116697;0,556213;1,433613
8,118353;0,5586806;1,490296
8,119924;0,5611643;1,581084
8,121528;0,5635207;1,469046
8,123336;0,5659267;1,330532
8,124977;0,5686391;1,653315
