Zeit;Kopf.x;Kopf.y;Kopf.z; Real.x; Real.y; Real.z
0,8238409;0;1,75; 0; 0; 1,75; 0
0,8253081;0;1,75; 0; 0; 1,75; 0
0,8267276;0;1,75; 0; 0; 1,75; 0
0,8281813;0;1,75; 0; 0; 1,75; 0
0,8297281;0;1,75; 0; 0; 1,75; 0
0,8312408;0;1,75; 0; 0; 1,75; 0
0,8327636;0;1,75; 0; 0; 1,75; 0
0,8342959;0;1,75; 0; 0; 1,75; 0
0,8359438;0;1,75; 0; 0; 1,75; 0
0,837449;0;1,75; 0; 0; 1,75; 0
0,839038;0;1,75; 0; 0; 1,75; 0
0,8405238;0;1,75; 0; 0; 1,75; 0
0,8421983;0;1,75; 0; 0; 1,75; 0
0,8436409;0;1,75; 0; 0; 1,75; 0
0,8451192;0;1,75; 0; 0; 1,75; 0
0,8466073;0;1,75; 0; 0; 1,75; 0
0,8480828;0;1,75; 0; 0; 1,75; 0
0,849507;0;1,75; 0; 0; 1,75; 0
0,8509312;0;1,75; 0; 0; 1,75; 0
0,8526291;0;1,75; 0; 0; 1,75; 0
0,8541449;0;1,75; 0; 0; 1,75; 0
0,8556364;0;1,75; 0; 0; 1,75; 0
0,8571694;0;1,75; 0; 0; 1,75; 0
0,8586304;0;1,75; 0; 0; 1,75; 0
0,8601297;0;1,75; 0; 0; 1,75; 0
0,8617492;0;1,75; 0; 0; 1,75; 0
0,8631929;0;1,75; 0; 0; 1,75; 0
0,8646306;0;1,75; 0; 0; 1,75; 0
0,8660836;0;1,75; 0; 0; 1,75; 0
0,867555;0;1,75; 0; 0; 1,75; 0
0,8692927;0;1,75; 0; 0; 1,75; 0
0,8707097;0;1,75; 0; 0; 1,75; 0
0,8722506;0;1,75; 0; 0; 1,75; 0
0,8737223;0;1,75; 0; 0; 1,75; 0
0,8752406;0;1,75; 0; 0; 1,75; 0
0,8766165;0;1,75; 0; 0; 1,75; 0
0,8780931;0;1,75; 0; 0; 1,75; 0
0,8796117;0;1,75; 0; 0; 1,75; 0
0,8810413;0;1,75; 0; 0; 1,75; 0
0,8828537;0;1,75; 0; 0; 1,75; 0
0,8843029;0;1,75; 0; 0; 1,75; 0
0,885708;0;1,75; 0; 0; 1,75; 0
0,8870621;0;1,75; 0; 0; 1,75; 0
0,8885055;0;1,75; 0; 0; 1,75; 0
0,8899928;0;1,75; 0; 0; 1,75; 0
0,8914536;0;1,75; 0; 0; 1,75; 0
0,8929784;0;1,75; 0; 0; 1,75; 0
0,8943847;0;1,75; 0; 0; 1,75; 0
0,8957971;0;1,75; 0; 0; 1,75; 0
0,8972853;0;1,75; 0; 0; 1,75; 0
0,8987147;0;1,75; 0; 0; 1,75; 0
0,9028236;0;1,75; 0; 0; 1,75; 0
0,904605;0;1,75; 0; 0; 1,75; 0
0,9061362;0;1,75; 0; 0; 1,75; 0
0,9075599;0;1,75; 0; 0; 1,75; 0
0,9089751;0;1,75; 0; 0; 1,75; 0
0,9104444;0;1,75; 0; 0; 1,75; 0
0,9118913;0;1,75; 0; 0; 1,75; 0
0,9133216;0;1,75; 0; 0; 1,75; 0
0,9147905;0;1,75; 0; 0; 1,75; 0
0,9163064;0;1,75; 0; 0; 1,75; 0
0,917883;0;1,75; 0; 0; 1,75; 0
0,9196088;0;1,75; 0; 0; 1,75; 0
0,9211046;0;1,75; 0; 0; 1,75; 0
0,9227651;0;1,75; 0; 0; 1,75; 0
0,9241713;0;1,75; 0; 0; 1,75; 0
0,9256257;0;1,75; 0; 0; 1,75; 0
0,9275025;0;1,75; 0; 0; 1,75; 0
0,9290705;0;1,75; 0; 0; 1,75; 0
0,9305223;0;1,75; 0; 0; 1,75; 0
0,9320266;0;1,75; 0; 0; 1,75; 0
0,9335235;0;1,75; 0; 0; 1,75; 0
0,9350253;0;1,75; 0; 0; 1,75; 0
0,936748;0;1,75; 0; 0; 1,75; 0
