Zeit;Kopf.x;Kopf.y, Kopf.z; Real.x; Real.y; Real.z
0,9154974;0;1,75, 0; 0; 1,75; 0
0,9170681;0;1,75, 0; 0; 1,75; 0
0,9186443;0;1,75, 0; 0; 1,75; 0
0,9201823;0;1,75, 0; 0; 1,75; 0
0,9219423;0;1,75, 0; 0; 1,75; 0
0,9237395;0;1,75, 0; 0; 1,75; 0
0,9255295;0;1,75, 0; 0; 1,75; 0
0,9274904;0;1,75, 0; 0; 1,75; 0
0,9291871;0;1,75, 0; 0; 1,75; 0
0,930731;0;1,75, 0; 0; 1,75; 0
0,9322765;0;1,75, 0; 0; 1,75; 0
0,9337974;0;1,75, 0; 0; 1,75; 0
0,9354628;0;1,75, 0; 0; 1,75; 0
0,9372094;0;1,75, 0; 0; 1,75; 0
0,9390245;0;1,75, 0; 0; 1,75; 0
0,9432727;0;1,75, 0; 0; 1,75; 0
0,9452596;0;1,75, 0; 0; 1,75; 0
0,9469718;0;1,75, 0; 0; 1,75; 0
0,9487775;0;1,75, 0; 0; 1,75; 0
0,950432;0;1,75, 0; 0; 1,75; 0
0,9522985;0;1,75, 0; 0; 1,75; 0
0,9540512;0;1,75, 0; 0; 1,75; 0
0,955756;0;1,75, 0; 0; 1,75; 0
0,9574435;0;1,75, 0; 0; 1,75; 0
0,9595679;0;1,75, 0; 0; 1,75; 0
0,9612411;0;1,75, 0; 0; 1,75; 0
0,9632269;0;1,75, 0; 0; 1,75; 0
0,9649657;0;1,75, 0; 0; 1,75; 0
0,9665279;0;1,75, 0; 0; 1,75; 0
0,968012;0;1,75, 0; 0; 1,75; 0
0,9697961;0;1,75, 0; 0; 1,75; 0
0,9715723;0;1,75, 0; 0; 1,75; 0
0,9732711;0;1,75, 0; 0; 1,75; 0
0,9748672;0;1,75, 0; 0; 1,75; 0
0,9766255;0;1,75, 0; 0; 1,75; 0
0,9784348;0;1,75, 0; 0; 1,75; 0
0,9800088;0;1,75, 0; 0; 1,75; 0
0,9816277;0;1,75, 0; 0; 1,75; 0
0,9830918;0;1,75, 0; 0; 1,75; 0
0,9846452;0;1,75, 0; 0; 1,75; 0
0,9861425;0;1,75, 0; 0; 1,75; 0
0,9877064;0;1,75, 0; 0; 1,75; 0
0,9893063;0;1,75, 0; 0; 1,75; 0
0,9908143;0;1,75, 0; 0; 1,75; 0
0,9923813;0;1,75, 0; 0; 1,75; 0
0,9939447;0;1,75, 0; 0; 1,75; 0
0,9954414;0;1,75, 0; 0; 1,75; 0
0,9969807;0;1,75, 0; 0; 1,75; 0
0,9985674;0;1,75, 0; 0; 1,75; 0
1,000299;0;1,75, 0; 0; 1,75; 0
1,002082;0;1,75, 0; 0; 1,75; 0
1,003613;0;1,75, 0; 0; 1,75; 0
1,00525;0;1,75, 0; 0; 1,75; 0
1,007003;0;1,75, 0; 0; 1,75; 0
1,008564;0;1,75, 0; 0; 1,75; 0
1,010084;0;1,75, 0; 0; 1,75; 0
1,011709;0;1,75, 0; 0; 1,75; 0
1,013284;0;1,75, 0; 0; 1,75; 0
1,01483;0;1,75, 0; 0; 1,75; 0
1,016336;0;1,75, 0; 0; 1,75; 0
1,018016;0;1,75, 0; 0; 1,75; 0
1,01975;0;1,75, 0; 0; 1,75; 0
1,021445;0;1,75, 0; 0; 1,75; 0
1,02328;0;1,75, 0; 0; 1,75; 0
1,024842;0;1,75, 0; 0; 1,75; 0
1,02649;0;1,75, 0; 0; 1,75; 0
1,028033;0;1,75, 0; 0; 1,75; 0
1,029553;0;1,75, 0; 0; 1,75; 0
1,031087;0;1,75, 0; 0; 1,75; 0
1,032643;0;1,75, 0; 0; 1,75; 0
