Zeit;Kopf.x;Kopf.y;Kopf.z; Real.x; Real.y; Real.z
9,827294;0;1,75; 7,574713; 0; 1,75; 0,5747133
9,828923;0;1,75; 7,577312; 0; 1,75; 0,5773113
9,830641;0;1,75; 7,579754; 0; 1,75; 0,5797544
9,832318;0;1,75; 7,582331; 0; 1,75; 0,5823312
9,838428;0;1,75; 7,584846; 0; 1,75; 0,5848467
9,840187;0;1,75; 7,594012; 0; 1,75; 0,5940122
9,842158;0;1,75; 8,59665; 0; 1,75; 0,5966502
9,843856;0;1,75; 8,599607; 0; 1,75; 0,5996076
9,845658;0;1,75; 8,602154; 0; 1,75; 0,6021534
9,847395;0;1,75; 8,604857; 0; 1,75; 0,6048571
9,849094;0;1,75; 8,607462; 0; 1,75; 0,6074623
9,850908;0;1,75; 8,610011; 0; 1,75; 0,6100115
9,852623;0;1,75; 8,612732; 0; 1,75; 0,612732
9,854387;0;1,75; 8,615304; 0; 1,75; 0,6153036
9,856113;0;1,75; 8,61795; 0; 1,75; 0,6179502
9,857812;0;1,75; 8,62054; 0; 1,75; 0,6205398
9,859638;0;1,75; 8,623088; 0; 1,75; 0,6230878
9,861398;0;1,75; 8,625827; 0; 1,75; 0,6258268
9,86335;0;1,75; 8,628467; 0; 1,75; 0,6284668
9,865093;0;1,75; 8,631395; 0; 1,75; 0,6313952
9,866809;0;1,75; 8,634009; 0; 1,75; 0,6340091
9,868573;0;1,75; 8,636583; 0; 1,75; 0,6365831
9,870332;0;1,75; 8,639229; 0; 1,75; 0,6392291
9,872069;0;1,75; 8,641868; 0; 1,75; 0,6418678
9,873821;0;1,75; 8,644474; 0; 1,75; 0,6444739
9,875536;0;1,75; 8,647101; 0; 1,75; 0,6471012
9,877208;0;1,75; 8,649673; 0; 1,75; 0,6496731
9,87897;0;1,75; 8,652182; 0; 1,75; 0,6521819
9,880868;0;1,75; 8,654824; 0; 1,75; 0,6548243
9,882888;0;1,75; 8,657671; 0; 1,75; 0,657671
9,890955;0;1,75; 8,660702; 0; 1,75; 0,660702
9,895403;0;1,75; 8,672803; 0; 1,75; 0,6728029
9,897289;0;1,75; 9,679474; 0; 1,75; 0,6794743
9,899047;0;1,75; 10,6823; 0; 1,75; 0,6823031
9,900783;0;1,75; 10,68494; 0; 1,75; 0,6849395
9,902856;0;1,75; 10,68754; 0; 1,75; 0,6875438
9,904661;0;1,75; 10,69065; 0; 1,75; 0,6906539
9,906331;0;1,75; 10,69336; 0; 1,75; 0,6933614
9,90804;0;1,75; 10,69587; 0; 1,75; 0,6958656
9,909742;0;1,75; 10,69843; 0; 1,75; 0,6984302
9,91166;0;1,75; 10,70098; 0; 1,75; 0,7009833
