Zeit;Kopf.x;Kopf.y, Kopf.z; Real.x; Real.y; Real.z
0,869579;0;1,75, 0; 0; 1,75; 0
0,8710192;0;1,75, 0; 0; 1,75; 0
0,8725417;0;1,75, 0; 0; 1,75; 0
0,8740298;0;1,75, 0; 0; 1,75; 0
0,8754421;0;1,75, 0; 0; 1,75; 0
0,8768792;0;1,75, 0; 0; 1,75; 0
0,878328;0;1,75, 0; 0; 1,75; 0
0,8798;0;1,75, 0; 0; 1,75; 0
0,8812774;0;1,75, 0; 0; 1,75; 0
0,8828899;0;1,75, 0; 0; 1,75; 0
0,88472;0;1,75, 0; 0; 1,75; 0
0,886921;0;1,75, 0; 0; 1,75; 0
0,8890659;0;1,75, 0; 0; 1,75; 0
0,8908085;0;1,75, 0; 0; 1,75; 0
0,8924195;0;1,75, 0; 0; 1,75; 0
0,8939868;0;1,75, 0; 0; 1,75; 0
0,8955041;0;1,75, 0; 0; 1,75; 0
0,8970276;0;1,75, 0; 0; 1,75; 0
0,8986804;0;1,75, 0; 0; 1,75; 0
0,9004242;0;1,75, 0; 0; 1,75; 0
0,9022312;0;1,75, 0; 0; 1,75; 0
0,9037504;0;1,75, 0; 0; 1,75; 0
0,9052547;0;1,75, 0; 0; 1,75; 0
0,9067053;0;1,75, 0; 0; 1,75; 0
0,908181;0;1,75, 0; 0; 1,75; 0
0,9132456;0;1,75, 0; 0; 1,75; 0
0,9153174;0;1,75, 0; 0; 1,75; 0
0,9170057;0;1,75, 0; 0; 1,75; 0
0,9185265;0;1,75, 0; 0; 1,75; 0
0,9200363;0;1,75, 0; 0; 1,75; 0
0,9219412;0;1,75, 0; 0; 1,75; 0
0,9235035;0;1,75, 0; 0; 1,75; 0
0,9249845;0;1,75, 0; 0; 1,75; 0
0,9264516;0;1,75, 0; 0; 1,75; 0
0,927992;0;1,75, 0; 0; 1,75; 0
0,9295685;0;1,75, 0; 0; 1,75; 0
0,932631;0;1,75, 0; 0; 1,75; 0
0,934262;0;1,75, 0; 0; 1,75; 0
0,9358236;0;1,75, 0; 0; 1,75; 0
0,937315;0;1,75, 0; 0; 1,75; 0
0,9388466;0;1,75, 0; 0; 1,75; 0
0,9403706;0;1,75, 0; 0; 1,75; 0
0,9420226;0;1,75, 0; 0; 1,75; 0
0,9434921;0;1,75, 0; 0; 1,75; 0
0,9450017;0;1,75, 0; 0; 1,75; 0
0,9467322;0;1,75, 0; 0; 1,75; 0
0,9481928;0;1,75, 0; 0; 1,75; 0
0,9497252;0;1,75, 0; 0; 1,75; 0
0,9511991;0;1,75, 0; 0; 1,75; 0
0,9526665;0;1,75, 0; 0; 1,75; 0
0,9541323;0;1,75, 0; 0; 1,75; 0
0,9556189;0;1,75, 0; 0; 1,75; 0
0,9571099;0;1,75, 0; 0; 1,75; 0
0,9585786;0;1,75, 0; 0; 1,75; 0
0,9600654;0;1,75, 0; 0; 1,75; 0
0,9618754;0;1,75, 0; 0; 1,75; 0
0,9637017;0;1,75, 0; 0; 1,75; 0
0,9654546;0;1,75, 0; 0; 1,75; 0
0,9670241;0;1,75, 0; 0; 1,75; 0
0,9685485;0;1,75, 0; 0; 1,75; 0
0,969972;0;1,75, 0; 0; 1,75; 0
0,9713634;0;1,75, 0; 0; 1,75; 0
0,9727215;0;1,75, 0; 0; 1,75; 0
0,974125;0;1,75, 0; 0; 1,75; 0
0,975526;0;1,75, 0; 0; 1,75; 0
0,9768876;0;1,75, 0; 0; 1,75; 0
0,9782768;0;1,75, 0; 0; 1,75; 0
0,9796174;0;1,75, 0; 0; 1,75; 0
0,9809871;0;1,75, 0; 0; 1,75; 0
0,9825832;0;1,75, 0; 0; 1,75; 0
0,9840133;0;1,75, 0; 0; 1,75; 0
0,9854277;0;1,75, 0; 0; 1,75; 0
0,9868165;0;1,75, 0; 0; 1,75; 0
0,9882149;0;1,75, 0; 0; 1,75; 0
0,9896395;0;1,75, 0; 0; 1,75; 0
0,9909995;0;1,75, 0; 0; 1,75; 0
0,9923857;0;1,75, 0; 0; 1,75; 0
0,9940478;0;1,75, 0; 0; 1,75; 0
0,9955521;0;1,75, 0; 0; 1,75; 0
0,9969702;0;1,75, 0; 0; 1,75; 0
0,9983813;0;1,75, 0; 0; 1,75; 0
0,999817;0;1,75, 0; 0; 1,75; 0
1,001221;0;1,75, 0; 0; 1,75; 0
1,002882;0;1,75, 0; 0; 1,75; 0
1,004485;0;1,75, 0; 0; 1,75; 0
1,006118;0;1,75, 0; 0; 1,75; 0
1,007792;0;1,75, 0; 0; 1,75; 0
1,009267;0;1,75, 0; 0; 1,75; 0
1,010778;0;1,75, 0; 0; 1,75; 0
1,012343;0;1,75, 0; 0; 1,75; 0
1,013805;0;1,75, 0; 0; 1,75; 0
1,015234;0;1,75, 0; 0; 1,75; 0
1,020197;0;1,75, 0; 0; 1,75; 0
1,022042;0;1,75, 0; 0; 1,75; 0
1,02361;0;1,75, 0; 0; 1,75; 0
1,033442;0;1,75, 0; 0; 1,75; 0
1,035089;0;1,75, 0; 0; 1,75; 0
1,036558;0;1,75, 0; 0; 1,75; 0
1,037993;0;1,75, 0; 0; 1,75; 0
1,039351;0;1,75, 0; 0; 1,75; 0
1,040888;0;1,75, 0; 0; 1,75; 0
1,042501;0;1,75, 0; 0; 1,75; 0
1,043908;0;1,75, 0; 0; 1,75; 0
1,04526;0;1,75, 0; 0; 1,75; 0
1,04663;0;1,75, 0; 0; 1,75; 0
1,048114;0;1,75, 0; 0; 1,75; 0
1,049661;0;1,75, 0; 0; 1,75; 0
1,05117;0;1,75, 0; 0; 1,75; 0
1,052647;0;1,75, 0; 0; 1,75; 0
1,054259;0;1,75, 0; 0; 1,75; 0
1,055752;0;1,75, 0; 0; 1,75; 0
1,057277;0;1,75, 0; 0; 1,75; 0
1,05886;0;1,75, 0; 0; 1,75; 0
1,060303;0;1,75, 0; 0; 1,75; 0
1,061949;0;1,75, 0; 0; 1,75; 0
1,063544;0;1,75, 0; 0; 1,75; 0
1,065951;0;1,75, 0; 0; 1,75; 0
1,068043;0;1,75, 0; 0; 1,75; 0
1,0697;0;1,75, 0; 0; 1,75; 0
1,071246;0;1,75, 0; 0; 1,75; 0
1,072923;0;1,75, 0; 0; 1,75; 0
1,07462;0;1,75, 0; 0; 1,75; 0
1,076155;0;1,75, 0; 0; 1,75; 0
1,077713;0;1,75, 0; 0; 1,75; 0
1,079291;0;1,75, 0; 0; 1,75; 0
1,080784;0;1,75, 0; 0; 1,75; 0
1,082361;0;1,75, 0; 0; 1,75; 0
1,08384;0;1,75, 0; 0; 1,75; 0
1,085242;0;1,75, 0; 0; 1,75; 0
1,086646;0;1,75, 0; 0; 1,75; 0
1,088249;0;1,75, 0; 0; 1,75; 0
1,08965;0;1,75, 0; 0; 1,75; 0
1,091119;0;1,75, 0; 0; 1,75; 0
1,092501;0;1,75, 0; 0; 1,75; 0
1,093878;0;1,75, 0; 0; 1,75; 0
1,09523;0;1,75, 0; 0; 1,75; 0
1,096609;0;1,75, 0; 0; 1,75; 0
1,098011;0;1,75, 0; 0; 1,75; 0
1,099387;0;1,75, 0; 0; 1,75; 0
1,100726;0;1,75, 0; 0; 1,75; 0
1,10227;0;1,75, 0; 0; 1,75; 0
1,103716;0;1,75, 0; 0; 1,75; 0
1,105097;0;1,75, 0; 0; 1,75; 0
1,106454;0;1,75, 0; 0; 1,75; 0
1,107787;0;1,75, 0; 0; 1,75; 0
1,10916;0;1,75, 0; 0; 1,75; 0
1,110482;0;1,75, 0; 0; 1,75; 0
1,111848;0;1,75, 0; 0; 1,75; 0
1,113221;0;1,75, 0; 0; 1,75; 0
1,114555;0;1,75, 0; 0; 1,75; 0
1,115916;0;1,75, 0; 0; 1,75; 0
1,117279;0;1,75, 0; 0; 1,75; 0
1,118632;0;1,75, 0; 0; 1,75; 0
1,120127;0;1,75, 0; 0; 1,75; 0
1,121884;0;1,75, 0; 0; 1,75; 0
1,123348;0;1,75, 0; 0; 1,75; 0
1,1248;0;1,75, 0; 0; 1,75; 0
1,126393;0;1,75, 0; 0; 1,75; 0
1,128021;0;1,75, 0; 0; 1,75; 0
1,132834;0;1,75, 0; 0; 1,75; 0
1,136057;0;1,75, 0; 0; 1,75; 0
1,137685;0;1,75, 0; 0; 1,75; 0
1,139218;0;1,75, 0; 0; 1,75; 0
1,140672;0;1,75, 0; 0; 1,75; 0
1,142342;0;1,75, 0; 0; 1,75; 0
1,14379;0;1,75, 0; 0; 1,75; 0
1,1452;0;1,75, 0; 0; 1,75; 0
1,146831;0;1,75, 0; 0; 1,75; 0
1,148294;0;1,75, 0; 0; 1,75; 0
1,149812;0;1,75, 0; 0; 1,75; 0
1,151379;0;1,75, 0; 0; 1,75; 0
1,152877;0;1,75, 0; 0; 1,75; 0
1,154382;0;1,75, 0; 0; 1,75; 0
1,155935;0;1,75, 0; 0; 1,75; 0
1,157832;0;1,75, 0; 0; 1,75; 0
1,159378;0;1,75, 0; 0; 1,75; 0
1,160912;0;1,75, 0; 0; 1,75; 0
1,162517;0;1,75, 0; 0; 1,75; 0
1,164044;0;1,75, 0; 0; 1,75; 0
1,165591;0;1,75, 0; 0; 1,75; 0
1,16702;0;1,75, 0; 0; 1,75; 0
1,168582;0;1,75, 0; 0; 1,75; 0
1,170244;0;1,75, 0; 0; 1,75; 0
1,171952;0;1,75, 0; 0; 1,75; 0
1,173471;0;1,75, 0; 0; 1,75; 0
1,174838;0;1,75, 0; 0; 1,75; 0
1,176217;0;1,75, 0; 0; 1,75; 0
1,177576;0;1,75, 0; 0; 1,75; 0
1,178902;0;1,75, 0; 0; 1,75; 0
1,180212;0;1,75, 0; 0; 1,75; 0
1,181755;0;1,75, 0; 0; 1,75; 0
1,183088;0;1,75, 0; 0; 1,75; 0
1,184444;0;1,75, 0; 0; 1,75; 0
1,185838;0;1,75, 0; 0; 1,75; 0
1,187352;0;1,75, 0; 0; 1,75; 0
1,188786;0;1,75, 0; 0; 1,75; 0
1,190168;0;1,75, 0; 0; 1,75; 0
1,191739;0;1,75, 0; 0; 1,75; 0
1,193186;0;1,75, 0; 0; 1,75; 0
1,194577;0;1,75, 0; 0; 1,75; 0
1,195974;0;1,75, 0; 0; 1,75; 0
1,197428;0;1,75, 0; 0; 1,75; 0
1,198862;0;1,75, 0; 0; 1,75; 0
1,200247;0;1,75, 0; 0; 1,75; 0
1,201818;0;1,75, 0; 0; 1,75; 0
1,203166;0;1,75, 0; 0; 1,75; 0
1,204491;0;1,75, 0; 0; 1,75; 0
1,20584;0;1,75, 0; 0; 1,75; 0
1,207209;0;1,75, 0; 0; 1,75; 0
1,208559;0;1,75, 0; 0; 1,75; 0
1,209893;0;1,75, 0; 0; 1,75; 0
1,211236;0;1,75, 0; 0; 1,75; 0
1,212588;0;1,75, 0; 0; 1,75; 0
1,21394;0;1,75, 0; 0; 1,75; 0
1,215307;0;1,75, 0; 0; 1,75; 0
1,216632;0;1,75, 0; 0; 1,75; 0
1,217939;0;1,75, 0; 0; 1,75; 0
1,219285;0;1,75, 0; 0; 1,75; 0
1,220685;0;1,75, 0; 0; 1,75; 0
